220;Astronomia
223;América Latina
238;Adriano
234;Antraz
232;Aquecimento global
231;Albert Einstein
230;Anarquismo
229;Anarcocapitalismo
228;Aquiles
226;Anno Domini
224;Albino Forjaz de Sampaio
254;História do Afeganistão
255;Argentina
250;Afeganistão
248;A Ideia Perigosa de Darwin
249;Agricultura
244;Afonso, Príncipe de Portugal (1475-1491)
245;Afonso de Espanha
242;Allen
240;Alexandre
241;Alexis
274;Arqueologia
273;Antropologia
272;Alfred Jules Ayer
277;Aldous Huxley
276;Alexandre Rodrigues Ferreira
281;Anatomia
259;Ananás
257;Algoritmo
261;Abacaxi
266;Aves
265;Angola
270;Ararinha-azul
271;Aipim
268;Arara-azul-de-lear
269;Arara-azul-grande
305;Alemanha
307;Antoine Henri Becquerel
306;Andorra
309;Austrália
308;Arménia
311;Andrew Wiles
310;Arte
312;Axel Munthe
315;Maria, a Judia
314;Alessandro Algardi
316;André-Marie Ampère
319;Alessandro Allori
318;Alhazen
288;André Marie Ampère
289;A Carta da Terra
290;Arquivo sonoro
292;Aleksandr Oparin
297;Amapá
298;Amazonas
299;Alagoas
300;Astrofísica
301;Azulona
302;Aristóteles
303;Albânia
343;Abolicionismo no Brasil
342;Aceleração
341;América
340;Ateísmo
339;Artesanato
338;Algarve
336;América do Norte
347;Amparo de São Francisco
346;Análise numérica
344;Alforria
326;Análise do comportamento
327;Antigüidade
324;Anders Jonas Ångström
322;Ambrósio
323;Ammiano Marcellino
320;August Wilhelm Ambros
321;André II da Hungria
332;Aruaques
330;Abaco
328;Apolo
373;André Maurois
372;Alexandre Ivanovich Kuprin
375;Anton Tchekhov
374;Alexandre Pushkin
369;Agnóstico
368;Açorda à alentejana
371;Anatole France
370;Arcádio Avertchenko
380;Alto Trás-os-Montes
382;Alentejo Central
377;Averróis
376;Arnold Ulitz
378;Asteroide
356;Artur Azevedo
357;Antônio Mariano de Oliveira
358;Alphonsus de Guimaraens
359;Álvares de Azevedo
355;Augusto dos Anjos
364;Auguste e Louis Lumière
365;Aveiro
367;Administração
360;Agricultura orgânica
361;Ammino
362;Armin van Buuren
363;António Guterres
410;Brasileiros
414;Hino à Bandeira do Brasil
415;Hino da Independência do Brasil
402;Agrofloresta
403;Allan Kardec
400;ASCII
401;Albert William Tucker
406;Geografia do Brasil
407;Governo do Brasil
404;Brasil
394;Rei Artur
393;Atenas
392;Adolf Hitler
399;Artes cénicas
398;Abraão
397;Amesterdão
396;Antártida
387;Automobilismo
386;Análise matemática
385;Açores
384;Altifalante
391;Alentejo Litoral
388;Alto Alentejo (sub-região)
440;Bioquímica
